model,condition,mean_rmse,sd_rmse,mean_loglik,n
baseline_minimum_jerk,Atypical,0.5572407490310012,0.2615031565763845,-62.760637754804705,320
bezier_attraction_condition,Atypical,0.4722426983421263,0.19542456425188665,-41.08716105781959,320
bezier_attraction_shared,Atypical,0.4727851603717618,0.2007230155932212,-44.08211047622892,320
condition_mean_trajectory,Atypical,0.43764181888953135,0.2026323183406206,-35.162176677110416,320
nested_action_condition_rho,Atypical,0.5280380879746229,0.22525805406575314,-52.97428945660729,320
nested_action_trial_level_rho_upper_bound,Atypical,0.4812123493779025,0.18805156181668153,-43.22153247539183,320
physical_A_motor_only,Atypical,0.5565254892613741,0.23186585613200028,-60.10841681611506,320
physical_B_target_only,Atypical,0.5903535735587762,0.23345120272790362,-64.89745660504659,320
physical_C_target_competitor_shared_rho,Atypical,0.5427035394441098,0.19020255117821863,-54.31577668943463,320
physical_D_target_competitor_condition_rho,Atypical,0.5411380921742542,0.1786463959503629,-52.15278438996758,320
physical_E_trial_level_rho_upper_bound,Atypical,0.4916993068173573,0.14452164533684722,-41.663334390380136,320
spline_attraction_condition,Atypical,0.5065345850336621,0.2336233424504685,-50.070835647099656,320
spline_attraction_shared,Atypical,0.5068907411672398,0.23982190772408554,-53.66728865938811,320
baseline_minimum_jerk,Typical,0.44731953290932647,0.1836044720639564,-35.985628432913245,744
bezier_attraction_condition,Typical,0.38446891289626334,0.13375063141909688,-17.746159959049354,744
bezier_attraction_shared,Typical,0.3849126717194993,0.13208413785725212,-18.328636625429674,744
condition_mean_trajectory,Typical,0.298525057630904,0.18166193126368432,-2.218910378189742,744
nested_action_condition_rho,Typical,0.43192345496384343,0.16963504504521895,-31.09407441144535,744
nested_action_trial_level_rho_upper_bound,Typical,0.41449825446975275,0.14972805754843752,-26.07791950081424,744
physical_A_motor_only,Typical,0.46071667851508075,0.15202061080383872,-36.182117590362665,744
physical_B_target_only,Typical,0.4995695703984068,0.15640543233844867,-43.805339099884534,744
physical_C_target_competitor_shared_rho,Typical,0.4708503654896853,0.1277704990030027,-36.487575934500384,744
physical_D_target_competitor_condition_rho,Typical,0.4704552058632402,0.13116654421275972,-36.30713541127755,744
physical_E_trial_level_rho_upper_bound,Typical,0.4506761836193826,0.11168290277608121,-31.222989538457384,744
spline_attraction_condition,Typical,0.39823416160898095,0.16881948125880808,-23.924179715362605,744
spline_attraction_shared,Typical,0.39823416160898095,0.16881948125880808,-24.737287859620942,744
baseline_minimum_jerk,All,0.4803785452767475,0.21593406367165266,-44.038262815436994,1064
bezier_attraction_condition,All,0.4108670438574251,0.1599577995936597,-24.76600991356672,1064
bezier_attraction_shared,All,0.411340487855518,0.1609670312929194,-26.07404229484298,1064
condition_mean_trajectory,All,0.34036468507710765,0.1986511459579958,-12.126659641023027,1064
nested_action_condition_rho,All,0.4608301115084388,0.19309368834035354,-37.67459021450157,1064
nested_action_trial_level_rho_upper_bound,All,0.43456264391581284,0.164981717604779,-31.233893327754867,1064
physical_A_motor_only,All,0.489531358438778,0.1849840322136132,-43.37799705675436,1064
physical_B_target_only,All,0.5268730299955103,0.18758566706516952,-50.14883308639944,1064
physical_C_target_competitor_shared_rho,All,0.49246034261883553,0.15282047941708995,-41.849440823202414,1064
physical_D_target_competitor_condition_rho,All,0.4917132167838459,0.15051407178943932,-41.072744126673044,1064
physical_E_trial_level_rho_upper_bound,All,0.46301396503230735,0.12385639017994479,-34.36294287738152,1064
spline_attraction_condition,All,0.4308057175261783,0.1968972876194555,-31.78783563468202,1064
spline_attraction_shared,All,0.43091283215281817,0.1991619633236956,-33.43803997985167,1064
